spcode,species,fun.group
Achmi,Achillea millefolium,Forb
Agrsm,Agropyron smithii,C-3
Amoca,Amorpha canescens,Legume
Andge,Andropogon gerardi,C-4
Asctu,Asclepias tuberosa,Forb
Bargr,Bare ground,-
Elyca,Elymus canadensis,C-3
Koecr,Koeleria cristata,C-3
Lesca,Lespedeza capitata,Legume
Liaas,Liatris aspera,Forb
Luppe,Lupinus perennis,Legume
Monfi,Monarda fistulosa,Forb
Panvi,Panicum virgatum,C-4
Petca,Petalostemum candidum,Legume
Petpu,Petalostemum purpureum,Legume
Petvi,Petalostemum villosum,Legume
Poapr,Poa pratensis,C-3
Queel,Quercus ellipsoidalis,Woody
Quema,Quercus macrocarpa,Woody
Schsc,Schizachyrium scoparium,C-4
Solri,Solidago rigida,Forb
Sornu,Sorghastrum nutans,C-4
